"Country","Date","Negative","Positive","Neutral","Total","Prop.negative","boostrap.avg","boostrap.se"
"Global",2020-08-09,1,0,0,1,1,1,0
"Global",2020-08-10,8,1,16,25,0.32,8.13,0.21017308884043
"Global",2020-08-11,24,63,173,260,0.0923076923076923,23.59,0.564093086379376
"Global",2020-08-12,20,26,89,135,0.148148148148148,20.52,0.404639757479827
"Global",2020-08-13,14,10,47,71,0.197183098591549,14.02,0.316540644780382
"Global",2020-08-14,8,12,37,57,0.140350877192982,7.84,0.252150347966839
"Global",2020-08-15,5,9,18,32,0.15625,5.2,0.223832549243871
"Global",2020-08-16,6,4,23,33,0.181818181818182,6,0.234843597212092
"Global",2020-08-17,8,6,20,34,0.235294117647059,7.39,0.256981310486568
"Global",2020-08-18,12,6,25,43,0.27906976744186,12.63,0.318346422069488
"Global",2020-08-19,22,4,42,68,0.323529411764706,21.97,0.412789231321445
"Global",2020-08-20,18,11,52,81,0.222222222222222,17.97,0.337385970261499
"Global",2020-08-21,13,5,28,46,0.282608695652174,13.43,0.293104249389361
"Global",2020-08-22,8,6,23,37,0.216216216216216,7.93,0.23709308575564
"Global",2020-08-23,7,7,16,30,0.233333333333333,6.86,0.243302198091097
"Global",2020-08-24,9,1,19,29,0.310344827586207,8.77,0.254199078907009
"Global",2020-08-25,8,4,26,38,0.210526315789474,7.66,0.253149853811628
"Global",2020-08-26,10,6,20,36,0.277777777777778,9.9,0.267611960898913
"Global",2020-08-27,6,4,16,26,0.230769230769231,6.01,0.201757430113641
"Global",2020-08-28,5,5,16,26,0.192307692307692,5.36,0.21249836600679
"Global",2020-08-29,1,3,10,14,0.0714285714285714,1.04,0.0994124151342692
"Global",2020-08-30,4,3,8,15,0.266666666666667,3.86,0.174089260745948
"Global",2020-08-31,7,8,24,39,0.179487179487179,6.74,0.240210345532848
"Global",2020-09-01,10,4,14,28,0.357142857142857,9.89,0.219224989359325
"Global",2020-09-02,18,5,16,39,0.461538461538462,17.97,0.310247538835581
"Global",2020-09-03,17,8,27,52,0.326923076923077,17.03,0.341551717544468
"Global",2020-09-04,16,7,20,43,0.372093023255814,16.6,0.303181780321958
"Global",2020-09-05,10,3,11,24,0.416666666666667,9.65,0.222644800232808
"Global",2020-09-06,7,1,10,18,0.388888888888889,6.99,0.209132406949195
"Global",2020-09-07,8,3,24,35,0.228571428571429,7.39,0.279210647824516
"Global",2020-09-08,21,2,27,50,0.42,20.69,0.314207356098266
"Global",2020-09-09,31,6,60,97,0.319587628865979,31.41,0.500322118461919
"Global",2020-09-10,15,5,31,51,0.294117647058824,15.51,0.30566866593312
"Global",2020-09-11,8,5,19,32,0.25,8.03,0.250838996211119
"Global",2020-09-12,11,3,15,29,0.379310344827586,11.32,0.275196899207337
"Global",2020-09-13,3,7,17,27,0.111111111111111,3.03,0.155994690404332
"Global",2020-09-14,7,4,30,41,0.170731707317073,6.86,0.231385811880059
"Global",2020-09-15,7,6,32,45,0.155555555555556,6.5,0.211057941204435
"Global",2020-09-16,16,4,34,54,0.296296296296296,16.13,0.285563416155614
"Global",2020-09-17,10,6,19,35,0.285714285714286,9.6,0.268929790694955
"Global",2020-09-18,7,4,25,36,0.194444444444444,6.79,0.220786015513811
"Global",2020-09-19,1,3,14,18,0.0555555555555556,0.88,0.0935063331728624
"Global",2020-09-20,11,5,17,33,0.333333333333333,11,0.288149792695228
"Global",2020-09-21,2,5,21,28,0.0714285714285714,1.92,0.130794001036251
"Global",2020-09-22,13,5,12,30,0.433333333333333,13.17,0.289567772636209
"Global",2020-09-23,9,7,27,43,0.209302325581395,9.19,0.279499914168506
"Global",2020-09-24,3,1,5,9,0.333333333333333,3.05,0.147281768022791
"Global",2020-09-25,0,0,0,0,0,0,0
"Global",2020-09-26,0,0,1,1,0,0,0
"Global",2020-09-27,7,1,14,22,0.318181818181818,7.18,0.21526586803159
"Global",2020-09-28,6,4,10,20,0.3,5.8,0.194884062918952
"Global",2020-09-29,6,5,13,24,0.25,6.27,0.199420878718069
"Global",2020-09-30,6,6,21,33,0.181818181818182,5.64,0.21951277545022
